nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
durkode/react-from-zero,https://github.com/durkode/react-from-zero,2017-06-11T14:46:41+09,2017-06-11T14:49:41+09,1,2,2,0,0,0,0
chinanf-boy/react-from-zero,https://github.com/chinanf-boy/react-from-zero,2018-06-28T15:37:34+09,2019-03-29T13:51:46+09,26,1722,882,106,38,13,11
BrianODell/react-from-zero,https://github.com/BrianODell/react-from-zero,2018-07-01T10:42:32+09,2018-07-01T10:44:03+09,1,1,1,0,0,0,0
MyLocalCode/react-from-zero,https://github.com/MyLocalCode/react-from-zero,2018-07-01T13:49:57+09,2018-09-18T00:47:11+09,1,2,2,0,0,0,0
andre-motta/react-from-zero,https://github.com/andre-motta/react-from-zero,2018-07-03T21:04:23+09,2018-08-04T19:21:52+09,34,456,342,60,40,1,0
matheuscuba/react-from-zero,https://github.com/matheuscuba/react-from-zero,2018-07-04T01:35:08+09,2018-07-04T01:47:07+09,1,41,40,41,40,0,0
reactspain/react-from-zero,https://github.com/reactspain/react-from-zero,2018-07-05T01:14:35+09,2018-10-11T23:16:30+09,46,429,263,74,40,1,0
lex111/react-from-zero,https://github.com/lex111/react-from-zero,2018-07-07T14:17:56+09,2018-07-08T13:47:26+09,21,411,403,45,41,0,0
ericx2x/react-from-zero,https://github.com/ericx2x/react-from-zero,2018-07-07T22:43:53+09,2018-07-10T21:04:49+09,5,6,6,0,0,0,0
Josheriff/react-from-zero,https://github.com/Josheriff/react-from-zero,2018-07-10T19:37:36+09,2018-07-10T19:40:05+09,1,36,44,36,44,0,0
raupulus/react-from-zero,https://github.com/raupulus/react-from-zero,2018-07-10T19:44:38+09,2019-01-24T02:51:42+09,12,665,581,23,20,1,0
sejas/react-desde-cero,https://github.com/sejas/react-desde-cero,2018-07-13T22:56:46+09,2019-02-06T18:56:46+09,59,342,277,69,45,0,0
vyspiansky/react-from-zero,https://github.com/vyspiansky/react-from-zero,2018-07-17T23:37:22+09,2018-07-19T23:51:51+09,24,286,280,50,46,0,0
newlinedotco/react-from-zero,https://github.com/newlinedotco/react-from-zero,2018-07-18T01:32:04+09,2019-01-24T02:51:42+09,11,663,581,21,20,1,0
