nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
piotrrojek/webpack_react,https://github.com/piotrrojek/webpack_react,2015-05-23T08:38:50+09,2015-05-23T08:40:57+09,1,1,1,0,0,0,0
gilesbradshaw/webpack_react,https://github.com/gilesbradshaw/webpack_react,2015-05-24T22:56:14+09,2015-05-24T23:00:49+09,1,1,1,0,0,0,0
dbunskoek/webpack_react,https://github.com/dbunskoek/webpack_react,2015-06-28T20:58:50+09,2015-06-28T22:02:46+09,1,23,23,0,0,0,0
firedev/webpack_react,https://github.com/firedev/webpack_react,2015-07-10T12:30:26+09,2015-07-12T00:54:15+09,33,250,210,9,7,0,1
olegchir/webpack_react,https://github.com/olegchir/webpack_react,2015-07-11T16:06:17+09,2015-07-11T16:22:22+09,1,6,6,0,0,0,0
yonibot/webpack_react,https://github.com/yonibot/webpack_react,2015-07-12T00:34:59+09,2015-07-12T00:48:47+09,2,1,1,1,1,0,0
jugend/webpack_react,https://github.com/jugend/webpack_react,2015-07-21T07:17:22+09,2015-07-21T07:21:31+09,1,23,27,0,0,0,0
idirver/webpack_react,https://github.com/idirver/webpack_react,2015-08-27T11:24:26+09,2018-02-25T14:47:34+09,8,7,0,0,0,4,0
montogeek/webpack_react,https://github.com/montogeek/webpack_react,2015-08-28T08:08:04+09,2015-09-01T09:11:16+09,1,3,13,0,0,0,0
emcpadden/webpack_react,https://github.com/emcpadden/webpack_react,2015-10-11T22:19:14+09,2015-10-11T22:27:55+09,1,1,1,0,0,0,0
xuyuanme/webpack_react,https://github.com/xuyuanme/webpack_react,2015-11-30T14:57:10+09,2015-11-30T21:24:34+09,3,3,2,0,0,0,0
mitchoneill/webpack_react,https://github.com/mitchoneill/webpack_react,2015-12-12T17:54:47+09,2015-12-12T17:57:27+09,1,1,1,0,0,0,0
davegomez/webpack_react,https://github.com/davegomez/webpack_react,2015-12-30T11:46:05+09,2016-01-07T01:22:37+09,68,1608,1114,0,0,2,6
hettlage/webpack_react,https://github.com/hettlage/webpack_react,2016-01-08T04:15:39+09,2016-01-13T05:52:31+09,3,10,8,0,0,0,0
andyklimczak/webpack_react,https://github.com/andyklimczak/webpack_react,2016-01-09T00:50:10+09,2016-02-17T11:27:52+09,191,2673,1708,7,2,7,0
wilsonmar/webpack_react,https://github.com/wilsonmar/webpack_react,2016-01-25T10:28:44+09,2016-01-25T14:16:33+09,2,1,1,1,1,0,0
alexshepard/webpack_react,https://github.com/alexshepard/webpack_react,2016-02-20T09:21:35+09,2016-02-20T09:25:27+09,1,2,2,0,0,0,0
pugnascotia/webpack_react,https://github.com/pugnascotia/webpack_react,2016-03-08T05:24:42+09,2016-03-08T05:26:59+09,1,1,1,0,0,0,0
JinJinHrb/webpack_react,https://github.com/JinJinHrb/webpack_react,2016-05-22T10:35:10+09,2016-06-15T15:30:47+09,61,2670,71,0,0,41,0
SIRHAMY/react,https://github.com/SIRHAMY/react,2016-06-07T12:04:57+09,2016-06-09T00:22:15+09,10,24,24,0,0,0,0
jriggs/react,https://github.com/jriggs/react,2016-06-08T21:32:35+09,2018-03-14T00:31:52+09,93,722,140,2,2,1,0
anthonybrown/react-2,https://github.com/anthonybrown/react-2,2016-06-12T06:51:01+09,2016-10-17T16:03:29+09,37,49,54,1,1,0,0
dekelea/react,https://github.com/dekelea/react,2016-06-19T06:59:12+09,2019-01-27T02:07:02+09,2,1,1,0,0,0,0
TomV/react,https://github.com/TomV/react,2016-11-04T21:40:06+09,2016-11-06T08:22:21+09,8,14,10,0,0,0,0
survivejs-translations/react-book-es,https://github.com/survivejs-translations/react-book-es,2017-02-17T15:58:58+09,2017-06-05T01:41:19+09,28,1034,1054,23,23,0,0
Alex-Sokolov/react-book,https://github.com/Alex-Sokolov/react-book,2017-03-02T05:56:11+09,2017-03-02T05:58:45+09,1,0,0,0,0,0,0
aladdin-add/react-book,https://github.com/aladdin-add/react-book,2017-11-09T21:21:34+09,2018-03-14T00:31:52+09,17,610,25,0,0,1,0
mehrdad-shokri/react-book,https://github.com/mehrdad-shokri/react-book,2017-11-15T14:37:20+09,2018-03-14T00:31:52+09,17,610,25,0,0,1,0
