nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
GL-A/react-routing,https://github.com/GL-A/react-routing,2017-06-09T14:15:14+09,2017-07-07T13:23:51+09,1,64,28,0,0,0,0
Vicki1/react-routing,https://github.com/Vicki1/react-routing,2017-06-18T11:51:09+09,2017-06-20T04:40:04+09,2,40,7,0,0,0,0
Justiceleeg/react-routing,https://github.com/Justiceleeg/react-routing,2017-06-19T10:15:21+09,2017-06-20T05:33:09+09,1,7106,8,0,0,1,0
bluecherryme/react-routing,https://github.com/bluecherryme/react-routing,2017-06-19T23:35:06+09,2017-06-20T02:40:53+09,1,46,12,0,0,0,0
mitch-foster/react-routing,https://github.com/mitch-foster/react-routing,2017-06-19T23:57:19+09,2017-06-20T05:57:33+09,2,7119,16,0,0,1,0
lpabst/react-routing,https://github.com/lpabst/react-routing,2017-06-20T00:15:06+09,2017-06-20T02:37:44+09,1,56,15,0,0,0,0
actualchandler/react-routing,https://github.com/actualchandler/react-routing,2017-06-20T00:36:13+09,2017-06-20T03:00:02+09,1,41,0,0,0,0,0
chrnzhng/react-routing,https://github.com/chrnzhng/react-routing,2017-06-20T00:58:31+09,2017-06-20T05:25:19+09,1,39,7,0,0,0,0
rustonrr/react-routing,https://github.com/rustonrr/react-routing,2017-06-20T01:00:41+09,2017-06-20T05:45:28+09,1,53,14,0,0,0,0
eliKeetch/react-routing,https://github.com/eliKeetch/react-routing,2017-06-20T01:02:48+09,2017-06-20T04:52:31+09,1,40,0,0,0,0,0
jordanfuzz/react-routing,https://github.com/jordanfuzz/react-routing,2017-06-20T01:03:41+09,2017-06-20T05:01:49+09,1,52,15,0,0,0,0
bethtelford/react-routing,https://github.com/bethtelford/react-routing,2017-06-20T01:46:11+09,2018-08-29T05:30:00+09,17,5800,2955,2349,288,9,22
ashlyndanielle/react-routing,https://github.com/ashlyndanielle/react-routing,2017-06-20T03:10:31+09,2017-06-20T05:09:45+09,1,50,15,0,0,0,0
AlexHill5/react-routing,https://github.com/AlexHill5/react-routing,2017-06-20T03:10:33+09,2017-06-20T05:42:15+09,1,52,16,0,0,0,0
jesspoemape/react-routing,https://github.com/jesspoemape/react-routing,2017-06-20T03:10:37+09,2017-06-20T05:10:52+09,1,39,13,0,0,0,0
robinsonnathan/react-routing,https://github.com/robinsonnathan/react-routing,2017-06-20T03:12:14+09,2017-06-20T06:51:20+09,1,62,23,0,0,0,0
nturner5/react-routing,https://github.com/nturner5/react-routing,2017-06-20T03:12:50+09,2017-06-20T07:39:05+09,1,62,16,0,0,0,0
pchiarato/react-routing,https://github.com/pchiarato/react-routing,2017-06-20T03:13:38+09,2017-06-20T06:03:47+09,1,7114,10,0,0,1,0
black-penguin/react-routing,https://github.com/black-penguin/react-routing,2017-06-20T03:21:34+09,2017-06-20T06:09:57+09,1,66,28,0,0,0,0
KScarabello/react-routing,https://github.com/KScarabello/react-routing,2017-07-07T10:26:46+09,2017-07-08T05:46:50+09,1,58,8,0,0,2,0
daveguymon/react-routing,https://github.com/daveguymon/react-routing,2017-07-08T01:27:23+09,2017-07-08T05:08:22+09,1,7581,2,0,0,1,0
Yzhou2/react-routing,https://github.com/Yzhou2/react-routing,2017-07-08T03:28:16+09,2017-07-08T05:37:34+09,1,88,31,0,0,0,0
ttluan411-zz/react-routing,https://github.com/ttluan411-zz/react-routing,2017-07-08T04:27:03+09,2017-07-08T05:57:47+09,1,7569,5,0,0,1,0
huyqdang/react-routing,https://github.com/huyqdang/react-routing,2017-07-08T04:37:57+09,2017-07-22T12:00:04+09,1,7594,9,0,0,1,0
janises/react-routing,https://github.com/janises/react-routing,2017-08-03T08:12:16+09,2017-08-04T02:49:52+09,1,10188,5,0,0,1,0
ClassyFD/react-routing,https://github.com/ClassyFD/react-routing,2017-08-04T01:13:17+09,2017-08-04T04:49:36+09,1,42,9,0,0,0,0
emkeator/react-routing,https://github.com/emkeator/react-routing,2017-08-04T01:13:28+09,2017-08-04T02:54:00+09,1,48,15,0,0,0,0
CharlesMurphy94/react-routing,https://github.com/CharlesMurphy94/react-routing,2017-08-04T02:11:18+09,2017-08-04T04:52:36+09,1,53,14,0,0,0,0
yabbbs/react-routing,https://github.com/yabbbs/react-routing,2017-08-09T06:36:44+09,2017-08-09T07:47:09+09,1,48,8,0,0,0,0
elderlowell/react-routing,https://github.com/elderlowell/react-routing,2017-08-09T09:03:55+09,2017-08-09T10:06:47+09,1,11164,27,0,0,1,0
StuartJFerrin/react-routing,https://github.com/StuartJFerrin/react-routing,2017-08-11T11:03:26+09,2017-09-10T11:53:29+09,1,10293,15,0,0,1,0
ryand825/react-routing,https://github.com/ryand825/react-routing,2017-08-13T01:47:27+09,2017-08-13T02:01:15+09,1,76,38,0,0,0,0
ShawnKoga/react-routing,https://github.com/ShawnKoga/react-routing,2017-08-23T00:56:42+09,2017-08-23T23:35:20+09,1,10445,61,0,0,1,0
keithdidier/react-routing,https://github.com/keithdidier/react-routing,2017-08-23T01:00:20+09,2017-09-20T03:29:06+09,1,11535,14,0,0,1,0
dan-valentine/react-routing,https://github.com/dan-valentine/react-routing,2017-08-23T04:31:35+09,2017-08-23T09:07:09+09,1,10577,23,0,0,1,0
juan2898/react-routing,https://github.com/juan2898/react-routing,2017-08-23T04:32:38+09,2017-08-23T06:06:55+09,1,52,9,0,0,0,0
AlexElls21/react-routing,https://github.com/AlexElls21/react-routing,2017-08-23T05:07:26+09,2017-08-23T06:06:33+09,1,11535,3,0,0,1,0
BlakeMAdams/react-routing,https://github.com/BlakeMAdams/react-routing,2017-08-23T05:07:30+09,2017-08-23T06:07:14+09,1,10589,18,0,0,1,0
kswensen/react-routing,https://github.com/kswensen/react-routing,2017-08-23T05:07:31+09,2017-08-23T05:54:06+09,1,10582,5,0,0,1,0
anthony-montoya/react-routing,https://github.com/anthony-montoya/react-routing,2017-08-23T05:07:55+09,2017-08-23T06:01:12+09,1,11575,17,0,0,1,0
anguyen3407/react-routing,https://github.com/anguyen3407/react-routing,2017-09-06T14:45:37+09,2017-10-11T13:34:41+09,1,10510,19,0,0,1,0
landonwjohnson/react-routing,https://github.com/landonwjohnson/react-routing,2017-09-15T23:00:40+09,2017-09-16T02:03:05+09,6,10602,33,0,0,1,0
gjkthx/react-routing,https://github.com/gjkthx/react-routing,2017-09-19T07:54:24+09,2017-09-21T03:51:38+09,1,11513,3,0,0,1,0
sdserage/react-routing,https://github.com/sdserage/react-routing,2017-09-19T14:04:50+09,2017-09-20T03:35:15+09,1,10580,33,0,0,1,0
travisdbates/react-routing,https://github.com/travisdbates/react-routing,2017-09-19T23:28:37+09,2017-09-20T03:17:28+09,1,11546,15,0,0,1,0
jacobcarey93/react-routing,https://github.com/jacobcarey93/react-routing,2017-09-19T23:36:47+09,2017-09-20T00:43:24+09,1,11528,2,0,0,1,0
taylorsam209/react-routing,https://github.com/taylorsam209/react-routing,2017-09-19T23:53:58+09,2017-09-20T04:32:36+09,1,45,8,0,0,0,0
meganfmiller/react-routing,https://github.com/meganfmiller/react-routing,2017-09-19T23:54:26+09,2017-09-20T03:29:26+09,1,100,60,0,0,0,0
chasewdavis/react-routing,https://github.com/chasewdavis/react-routing,2017-09-20T02:35:35+09,2017-09-20T03:31:34+09,1,11569,16,0,0,1,0
Tommydreamer57/react-routing,https://github.com/Tommydreamer57/react-routing,2017-09-20T02:36:02+09,2017-09-20T03:31:06+09,1,10497,15,0,0,1,0
kapehe-ok/react-routing,https://github.com/kapehe-ok/react-routing,2017-09-20T02:37:17+09,2017-09-20T04:18:09+09,1,11564,16,0,0,1,0
samseeg/react-routing,https://github.com/samseeg/react-routing,2017-09-20T02:37:39+09,2017-09-20T04:47:26+09,1,11531,2,0,0,1,0
Jadeng24/react-routing,https://github.com/Jadeng24/react-routing,2017-09-20T02:37:47+09,2017-10-05T00:05:15+09,1,11549,23,0,0,1,0
ryanjparke/react-routing,https://github.com/ryanjparke/react-routing,2017-09-20T02:38:30+09,2017-09-20T04:38:27+09,1,11556,3,0,0,1,0
DJBarBar/react-routing,https://github.com/DJBarBar/react-routing,2017-09-20T04:36:56+09,2017-09-20T04:54:05+09,1,10553,15,0,0,2,0
Skylercrane23/react-routing,https://github.com/Skylercrane23/react-routing,2017-09-21T12:04:23+09,2017-09-21T14:10:15+09,1,123,23,0,0,0,0
denverjc5/react-routing,https://github.com/denverjc5/react-routing,2017-09-22T08:51:31+09,2017-09-22T10:05:26+09,1,11531,24,0,0,1,0
KoltWright/react-routing,https://github.com/KoltWright/react-routing,2017-09-22T08:55:16+09,2017-09-22T11:34:28+09,1,69,30,0,0,0,0
ajohnson2205/react-routing,https://github.com/ajohnson2205/react-routing,2017-09-22T09:08:30+09,2017-09-24T03:11:07+09,1,10403,33,0,0,1,0
ckyle25/react-routing,https://github.com/ckyle25/react-routing,2017-09-22T09:09:46+09,2018-02-16T01:55:42+09,1,60,15,0,0,0,0
jfirwin/react-routing,https://github.com/jfirwin/react-routing,2017-09-22T09:10:56+09,2017-09-22T10:45:14+09,1,70,26,0,0,0,0
16smithcha/react-routing,https://github.com/16smithcha/react-routing,2017-09-26T10:50:05+09,2018-06-06T10:13:59+09,1,85,21,0,0,5,0
Fideist/react-routing,https://github.com/Fideist/react-routing,2017-09-29T10:30:24+09,2017-10-15T04:14:50+09,1,10626,38,0,0,1,0
czuniga10/react-routing,https://github.com/czuniga10/react-routing,2017-10-03T09:29:37+09,2017-10-03T10:50:36+09,1,11560,14,0,0,1,0
katieolivia/react-routing,https://github.com/katieolivia/react-routing,2017-10-04T09:18:41+09,2017-10-04T10:52:41+09,1,11564,19,0,0,1,0
chrisjxn/react-routing,https://github.com/chrisjxn/react-routing,2017-10-11T01:04:35+09,2017-10-22T01:05:17+09,1,104,61,0,0,0,0
Natalia504/react-routing,https://github.com/Natalia504/react-routing,2017-10-11T03:13:09+09,2017-10-11T05:34:30+09,1,51,13,0,0,0,0
