nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
doror1989/BeautifulRestApi,https://github.com/doror1989/BeautifulRestApi,2023-08-02T21:29:28+09,2023-10-23 22:05:47+09:00,18,68,1785,1,398,2,38,1698066347,0.9907788587466567,1.0,0.29385964912280704,1.0,0.3333333333333333,1.0,0.18181818181818182,1.0,0.7249737528776223
sreejithuvt/BeautifulRestApi,https://github.com/sreejithuvt/BeautifulRestApi,2019-04-13T16:54:30+09,2019-04-24 16:22:24+09:00,14,229,5,3,1,11,0,1556090544,0.10466756103849298,0.7647058823529411,1.0,0.0028011204481792717,1.0,0.002512562814070352,1.0,0.0,0.48433589083171047
acme-corp-it/BeautifulRestApi,https://github.com/acme-corp-it/BeautifulRestApi,2023-11-10T00:29:32+09,2023-11-10 00:29:50+09:00,1,1,1,1,1,0,0,1699543790,1.0,0.0,0.0,0.0005602240896358543,0.3333333333333333,0.002512562814070352,0.0,0.0,0.16705076502962996
uvttest2603/BeautifulRestApi,https://github.com/uvttest2603/BeautifulRestApi,2019-04-11T14:30:07+09,2019-04-18 18:09:35+09:00,6,22,4,1,0,1,0,1555578575,0.10147221714615133,0.29411764705882354,0.09210526315789473,0.002240896358543417,0.3333333333333333,0.0,0.09090909090909091,0.0,0.11427230599547965
sreeniakr/BeautifulRestApi,https://github.com/sreeniakr/BeautifulRestApi,2019-04-18T19:46:38+09,2019-04-18 20:01:10+09:00,1,34,0,0,0,1,0,1555585270,0.10151400254206246,0.0,0.14473684210526316,0.0,0.0,0.0,0.09090909090909091,0.0,0.04214499194455207
segadmitr/BeautifulRestApi,https://github.com/segadmitr/BeautifulRestApi,2019-02-18T22:22:33+09,2019-02-20 15:59:16+09:00,3,19,16,0,0,0,0,1550645956,0.07068634144879785,0.11764705882352941,0.07894736842105263,0.008963585434173669,0.0,0.0,0.0,0.0,0.034530544265944194
ultimatixarup/BeautifulRestApi,https://github.com/ultimatixarup/BeautifulRestApi,2018-11-15T00:13:00+09,2018-11-15 00:19:53+09:00,1,14,0,0,0,1,0,1542208793,0.01802761160237956,0.0,0.05701754385964912,0.0,0.0,0.0,0.09090909090909091,0.0,0.020744280796389947
younesqubati/BeautifulRestApi,https://github.com/younesqubati/BeautifulRestApi,2018-10-12T13:45:56+09,2018-10-12 13:59:07+09:00,1,10,0,0,0,0,0,1539320347,0.0,0.0,0.039473684210526314,0.0,0.0,0.0,0.0,0.0,0.004934210526315789
