nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
cem2ran/react-router-firebase-auth,https://github.com/cem2ran/react-router-firebase-auth,2015-11-02T23:36:51+09,2015-11-04T20:51:43+09,1,198,176,1,3,2,0
cesarrodas/react-router-firebase-auth,https://github.com/cesarrodas/react-router-firebase-auth,2016-05-27T01:34:01+09,2016-05-28T00:46:04+09,2,48,42,0,0,0,0
simoneduca/todolist,https://github.com/simoneduca/todolist,2016-11-21T19:58:28+09,2016-11-30T00:48:38+09,6,476,24,0,0,14,0
just214/react-router-firebase-auth,https://github.com/just214/react-router-firebase-auth,2017-02-02T02:18:18+09,2017-02-02T02:40:04+09,1,18,17,1,0,0,0
jephjohnson/react-router-firebase-auth,https://github.com/jephjohnson/react-router-firebase-auth,2017-02-24T11:01:45+09,2017-02-24T12:01:46+09,6,150,11,1,1,2,0
ashline/react-router-firebase-auth,https://github.com/ashline/react-router-firebase-auth,2017-06-09T23:36:25+09,2017-06-16T18:56:46+09,4,5553,48,1,1,11,1
A-Singleton/react-router-firebase-auth,https://github.com/A-Singleton/react-router-firebase-auth,2017-08-02T10:49:32+09,2017-09-07T05:17:48+09,25,2773,25,0,0,20,0
rpassafaro/react-router-firebase-auth,https://github.com/rpassafaro/react-router-firebase-auth,2017-08-10T19:59:10+09,2017-08-11T05:13:29+09,1,7940,4,0,0,1,0
stungkit/react-router-firebase-auth,https://github.com/stungkit/react-router-firebase-auth,2017-12-04T09:53:42+09,2017-12-29T02:28:54+09,3,34,0,5,0,2,0
msvzero/react-router-firebase-auth,https://github.com/msvzero/react-router-firebase-auth,2018-02-04T12:16:28+09,2018-12-07T01:33:43+09,1,8,0,0,0,1,0
schach0415/FindCapsule2,https://github.com/schach0415/FindCapsule2,2018-04-10T07:28:44+09,2018-04-12T04:37:54+09,7,19964,79,0,0,3,0
AdithyaBhat17/react-router-firebase-auth,https://github.com/AdithyaBhat17/react-router-firebase-auth,2018-08-23T23:10:59+09,2019-11-23T23:58:41+09,1,7,9,0,0,0,0
hussain-imtiaz/react-router-firebase-auth,https://github.com/hussain-imtiaz/react-router-firebase-auth,2021-09-22T20:59:48+09,2021-09-22T22:26:49+09,5,12338,18,0,0,21,0
lustscidstatra/react-router-firebase-auth,https://github.com/lustscidstatra/react-router-firebase-auth,2023-07-07T12:06:00+09,2023-07-07T12:31:11+09,1,3895,0,0,0,100,0
