nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
juliecoding/redux-counter,https://github.com/juliecoding/redux-counter,2017-04-06T09:34:19+09,2017-10-06T09:24:37+09,1,118,15,0,0,0,0
rnoelle/redux-counter,https://github.com/rnoelle/redux-counter,2017-04-06T09:36:57+09,2017-04-06T12:01:49+09,2,164,19,0,0,0,0
qais11/redux-counter,https://github.com/qais11/redux-counter,2017-04-12T03:28:51+09,2017-04-12T04:29:15+09,1,54,9,0,0,0,0
mrgaud/redux-counter,https://github.com/mrgaud/redux-counter,2017-04-12T03:30:41+09,2017-04-12T09:31:41+09,1,61,9,0,0,0,0
jmitchell0528/redux-counter,https://github.com/jmitchell0528/redux-counter,2017-04-12T03:31:56+09,2017-04-14T11:53:37+09,1,51,9,0,0,0,0
SheaClose/redux-counter,https://github.com/SheaClose/redux-counter,2017-04-12T04:01:26+09,2017-10-19T09:55:29+09,2,216,86,15,15,0,0
coreymcgarr4/redux-counter,https://github.com/coreymcgarr4/redux-counter,2017-04-28T01:42:52+09,2017-04-28T05:18:04+09,1,58,8,0,0,0,0
ZMcClung88/redux-counter,https://github.com/ZMcClung88/redux-counter,2017-05-18T14:23:52+09,2017-05-19T03:13:30+09,2,165,23,0,0,0,0
jakeheadley/redux-counter,https://github.com/jakeheadley/redux-counter,2017-05-19T02:26:16+09,2017-05-19T06:37:37+09,1,102,21,0,0,0,0
yohannisberg/redux-counter,https://github.com/yohannisberg/redux-counter,2017-05-19T02:26:41+09,2017-05-19T06:36:30+09,1,61,7,0,0,0,0
NickCelaya/redux-counter,https://github.com/NickCelaya/redux-counter,2017-05-19T02:26:46+09,2017-05-20T05:03:41+09,2,99,7,0,0,1,0
bluecherryme/redux-counter,https://github.com/bluecherryme/redux-counter,2017-06-14T11:55:31+09,2017-06-19T23:11:11+09,1,89,15,0,0,0,0
Justiceleeg/redux-counter,https://github.com/Justiceleeg/redux-counter,2017-06-14T13:10:44+09,2017-06-15T04:55:39+09,1,6220,13,0,0,1,0
dontimoteo21/redux-counter,https://github.com/dontimoteo21/redux-counter,2017-06-14T23:45:39+09,2017-06-15T04:59:34+09,1,5912,22,0,0,1,0
jesspoemape/redux-counter,https://github.com/jesspoemape/redux-counter,2017-06-14T23:54:54+09,2017-06-15T03:02:11+09,1,99,13,0,0,0,0
mitch-foster/redux-counter,https://github.com/mitch-foster/redux-counter,2017-06-15T00:06:57+09,2017-06-15T05:36:40+09,1,79,9,0,0,0,0
erpatterson11/redux-counter,https://github.com/erpatterson11/redux-counter,2017-06-15T00:58:37+09,2017-09-16T06:41:05+09,1,94,8,0,0,0,0
NDMueller/redux-counter,https://github.com/NDMueller/redux-counter,2017-06-15T00:59:52+09,2017-06-15T05:11:20+09,1,60,12,0,0,0,0
lpabst/redux-counter,https://github.com/lpabst/redux-counter,2017-06-15T01:04:26+09,2017-06-15T03:46:56+09,1,96,13,0,0,0,0
mahburg/redux-counter,https://github.com/mahburg/redux-counter,2017-06-15T01:05:04+09,2017-08-12T07:17:56+09,2,119,13,0,0,0,0
Vicki1/redux-counter,https://github.com/Vicki1/redux-counter,2017-06-15T01:05:20+09,2017-06-15T03:20:07+09,1,66,8,0,0,0,0
bethtelford/redux-counter,https://github.com/bethtelford/redux-counter,2017-06-15T01:05:56+09,2017-06-16T01:11:04+09,1,63,9,0,0,0,0
jdpabst/redux-counter,https://github.com/jdpabst/redux-counter,2017-06-15T01:05:57+09,2017-06-15T04:15:18+09,1,84,9,0,0,0,0
jaygraygray/redux-counter,https://github.com/jaygraygray/redux-counter,2017-06-15T01:07:31+09,2017-06-15T02:00:31+09,2,21,3,0,0,0,0
black-penguin/redux-counter,https://github.com/black-penguin/redux-counter,2017-06-15T01:07:41+09,2017-06-15T04:08:41+09,1,82,9,0,0,0,0
pchiarato/redux-counter,https://github.com/pchiarato/redux-counter,2017-06-15T01:38:02+09,2017-06-15T07:03:03+09,1,83,13,0,0,0,0
joej326/redux-counter,https://github.com/joej326/redux-counter,2017-06-15T01:38:15+09,2017-06-15T06:59:47+09,3,78,8,0,0,0,0
Alan-Miller/redux-counter,https://github.com/Alan-Miller/redux-counter,2017-06-15T01:38:17+09,2017-08-09T04:23:44+09,5,110,9,0,0,0,0
jordanfuzz/redux-counter,https://github.com/jordanfuzz/redux-counter,2017-06-15T01:38:18+09,2017-06-15T03:26:05+09,1,58,8,0,0,0,0
nturner5/redux-counter,https://github.com/nturner5/redux-counter,2017-06-15T01:38:22+09,2017-07-14T03:17:00+09,1,101,14,0,0,0,0
GL-A/redux-counter,https://github.com/GL-A/redux-counter,2017-06-15T03:41:23+09,2017-07-11T02:03:14+09,1,87,15,0,0,0,0
chrnzhng/redux-counter,https://github.com/chrnzhng/redux-counter,2017-06-18T03:35:00+09,2017-06-18T04:13:46+09,1,69,12,0,0,0,0
tehHackerz/redux-counter,https://github.com/tehHackerz/redux-counter,2017-06-27T09:30:49+09,2017-06-27T12:40:06+09,1,108,16,0,0,0,0
Yzhou2/redux-counter,https://github.com/Yzhou2/redux-counter,2017-07-09T07:33:21+09,2017-07-11T05:14:04+09,2,124,18,6,3,1,0
daveguymon/redux-counter,https://github.com/daveguymon/redux-counter,2017-07-10T09:49:09+09,2017-07-10T11:16:10+09,5,6329,13,0,0,1,0
ttluan411-zz/redux-counter,https://github.com/ttluan411-zz/redux-counter,2017-07-11T03:57:12+09,2017-07-11T05:52:10+09,1,6319,17,0,0,1,0
ikhem/redux-counter,https://github.com/ikhem/redux-counter,2017-07-11T04:21:09+09,2017-07-11T06:09:07+09,1,6148,13,0,0,2,0
