nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
OSIMLY/cloud-doc,https://github.com/OSIMLY/cloud-doc,2018-02-08T18:01:58+09,2020-11-21T13:15:31+09,2,1,0,0,0,1,0
dickwu/cloud-doc,https://github.com/dickwu/cloud-doc,2018-08-20T14:21:14+09,2023-11-01T06:07:05+09,10,343,0,0,0,1,0
