nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
yesmeck/react-lite,https://github.com/yesmeck/react-lite,2016-01-03T06:00:08+09,2016-01-03T06:01:12+09,1,0,0,0,0,0,0
mindreframer/react-lite,https://github.com/mindreframer/react-lite,2016-01-05T23:46:37+09,2016-01-05T23:57:56+09,2,10,5,10,5,0,0
faruzzy/react-lite,https://github.com/faruzzy/react-lite,2016-01-20T13:29:28+09,2016-11-14T22:45:23+09,199,9272,4073,28,25,36,2
nightwolfz/react-lite,https://github.com/nightwolfz/react-lite,2016-03-24T23:28:19+09,2016-03-25T00:02:02+09,2,67,20,0,0,0,0
pconerly/react-lite,https://github.com/pconerly/react-lite,2016-03-26T06:31:50+09,2016-03-26T06:35:00+09,1,5,6,5,6,0,0
inhuman-cpc/react-lite,https://github.com/inhuman-cpc/react-lite,2016-05-10T18:29:14+09,2016-05-10T23:59:00+09,3,77,57,0,0,1,0
creeperyang/react-lite,https://github.com/creeperyang/react-lite,2016-10-19T18:58:12+09,2016-10-19T20:16:40+09,1,24,3,0,0,0,0
Shuttlerock-Archive/react-lite,https://github.com/Shuttlerock-Archive/react-lite,2016-12-23T20:28:16+09,2016-12-23T20:50:20+09,2,11,2,0,0,0,0
shengxinjing/react-lite,https://github.com/shengxinjing/react-lite,2017-05-23T13:47:42+09,2017-05-23T19:44:31+09,1,17,8,0,0,0,0
aminshoman/react-lite,https://github.com/aminshoman/react-lite,2017-07-23T18:25:22+09,2017-07-24T21:53:22+09,4,4717,5,0,0,43,0
