nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
stepan/TKSubmitTransition,https://github.com/stepan/TKSubmitTransition,2015-08-26T23:04:17+09,2015-09-11T04:18:55+09,4,228,88,0,0,2,0
nahitheper/TKSubmitTransition,https://github.com/nahitheper/TKSubmitTransition,2015-09-03T23:09:51+09,2015-09-03T23:18:54+09,1,6,0,0,0,0,0
indevizible/TKSubmitTransition,https://github.com/indevizible/TKSubmitTransition,2015-09-08T19:49:45+09,2015-09-09T20:08:05+09,2,9,31,9,31,0,0
n8stowell82/TKSubmitTransition,https://github.com/n8stowell82/TKSubmitTransition,2015-09-15T12:24:27+09,2015-09-15T12:26:24+09,1,17,7,0,0,0,0
sethroot/TKSubmitTransition,https://github.com/sethroot/TKSubmitTransition,2016-02-08T00:53:11+09,2016-02-08T03:02:45+09,1,1,1,0,0,0,0
oahcnap/TKSubmitTransition,https://github.com/oahcnap/TKSubmitTransition,2016-03-18T00:52:44+09,2016-03-18T00:57:12+09,1,2,2,0,0,0,0
dlavlinskyi/TKSubmitTransition,https://github.com/dlavlinskyi/TKSubmitTransition,2016-03-21T23:15:22+09,2016-03-21T23:20:52+09,1,6,7,0,1,0,0
weilsonwonder/TKSubmitTransition,https://github.com/weilsonwonder/TKSubmitTransition,2016-04-06T17:42:47+09,2016-04-06T17:44:36+09,1,37,13,0,0,0,0
metasP/TKSubmitTransition-Fix,https://github.com/metasP/TKSubmitTransition-Fix,2016-07-16T19:39:15+09,2016-07-16T20:30:43+09,4,126,7,5,1,1,0
jvitor/TKSubmitTransition,https://github.com/jvitor/TKSubmitTransition,2016-09-06T22:41:18+09,2016-09-06T22:53:14+09,1,60,73,0,0,0,1
jesster2k10/TKSubmitTransition-Swift3,https://github.com/jesster2k10/TKSubmitTransition-Swift3,2017-02-01T03:10:04+09,2017-02-01T03:32:24+09,1,84,79,0,0,1,0
farabis4m/TKSubmitTransition,https://github.com/farabis4m/TKSubmitTransition,2017-10-24T15:49:11+09,2017-10-24T15:52:06+09,1,1,1,0,0,0,0
midhetfatema94/TKSubmitTransition,https://github.com/midhetfatema94/TKSubmitTransition,2017-12-07T22:01:57+09,2017-12-07T22:06:28+09,1,1,1,1,1,0,0
cpansky/TKSubmitTransition,https://github.com/cpansky/TKSubmitTransition,2018-05-22T04:28:14+09,2020-02-04T00:10:58+09,7,263,24,0,0,2,0
anirudhamahale/TKSubmitTransition,https://github.com/anirudhamahale/TKSubmitTransition,2018-09-10T16:56:23+09,2019-09-10T22:25:43+09,4,57,35,0,0,1,0
soareseneves/TKSubmitTransition,https://github.com/soareseneves/TKSubmitTransition,2019-02-06T22:28:08+09,2019-02-07T01:32:32+09,3,668,1,4,0,6,0
openium/TKSubmitTransition,https://github.com/openium/TKSubmitTransition,2019-02-14T20:18:21+09,2019-02-15T01:01:50+09,1,638,36,0,0,6,0
tuantmdev/TKSubmitTransition,https://github.com/tuantmdev/TKSubmitTransition,2019-04-10T20:27:26+09,2019-05-09T12:39:08+09,3,480,38,0,0,3,1
AkashlalBol/TKSubmitTransition,https://github.com/AkashlalBol/TKSubmitTransition,2021-05-03T21:13:06+09,2021-05-03T21:43:22+09,1,31,1174,0,0,2,20
