nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
melodymennen/http-afternoon,https://github.com/melodymennen/http-afternoon,2017-12-06T07:19:46+09,2017-12-06T08:39:05+09,5,75,22,0,0,0,0
in43sh/http-afternoon,https://github.com/in43sh/http-afternoon,2017-12-06T07:25:52+09,2017-12-06T17:10:14+09,1,63,13,0,0,0,0
Mwerdean/http-afternoon,https://github.com/Mwerdean/http-afternoon,2017-12-06T07:31:03+09,2017-12-07T01:30:46+09,1,131,933,0,0,0,0
bdlewis30/http-afternoon,https://github.com/bdlewis30/http-afternoon,2017-12-06T10:23:47+09,2017-12-06T10:45:15+09,1,263,149,0,0,0,0
RyanADesigns/http-afternoon,https://github.com/RyanADesigns/http-afternoon,2017-12-06T10:59:03+09,2017-12-06T13:30:08+09,1,116,8,0,0,0,0
Lisamarie73187/http-afternoon,https://github.com/Lisamarie73187/http-afternoon,2017-12-09T13:34:37+09,2017-12-13T08:38:17+09,5,626,49,0,0,0,0
jaylanjones421/http-afternoon,https://github.com/jaylanjones421/http-afternoon,2017-12-20T13:04:11+09,2017-12-29T03:45:50+09,2,132,22,0,0,0,0
brettghays/http-afternoon,https://github.com/brettghays/http-afternoon,2017-12-22T13:06:06+09,2017-12-24T02:36:19+09,5,186,23,0,0,1,0
ballermjc/http-afternoon,https://github.com/ballermjc/http-afternoon,2017-12-22T13:19:34+09,2017-12-23T12:11:46+09,1,163,31,0,0,0,0
munkhtegsh/http-afternoon,https://github.com/munkhtegsh/http-afternoon,2017-12-25T03:05:23+09,2017-12-26T03:06:55+09,3,592,269,0,0,0,0
alyssalleonard/http-afternoon,https://github.com/alyssalleonard/http-afternoon,2017-12-27T01:29:13+09,2017-12-28T03:40:02+09,1,138,34,0,0,0,0
esimms311/http-afternoon,https://github.com/esimms311/http-afternoon,2018-01-04T02:11:35+09,2018-01-04T03:02:00+09,1,216,95,0,0,0,0
redsnow32/react-3-afternoon-2,https://github.com/redsnow32/react-3-afternoon-2,2018-01-17T05:23:27+09,2018-01-18T13:00:18+09,1,355,47,0,0,0,0
TylerKonesky/react-3-afternoon-2,https://github.com/TylerKonesky/react-3-afternoon-2,2018-01-17T05:35:45+09,2018-01-17T08:24:24+09,1,128,938,0,0,0,0
mateotherock/react-3-afternoon-2,https://github.com/mateotherock/react-3-afternoon-2,2018-01-17T06:06:57+09,2018-01-17T08:53:00+09,1,180,937,0,0,0,0
TalanCurtis/react-3-afternoon-2,https://github.com/TalanCurtis/react-3-afternoon-2,2018-01-17T06:18:58+09,2018-01-17T10:24:56+09,1,313,21,0,0,0,0
kc-hansen/react-3-afternoon-2,https://github.com/kc-hansen/react-3-afternoon-2,2018-01-17T06:36:49+09,2018-01-17T09:05:37+09,1,128,936,0,0,0,0
tcscheurer/react-3-afternoon-2,https://github.com/tcscheurer/react-3-afternoon-2,2018-01-30T02:18:24+09,2018-01-30T06:28:24+09,1,152,921,0,0,0,0
stevesmithsays/react-3-afternoon-2,https://github.com/stevesmithsays/react-3-afternoon-2,2018-01-30T13:48:34+09,2018-01-31T07:43:48+09,1,155,34,0,0,0,0
brittanyjat/react-3-afternoon-2,https://github.com/brittanyjat/react-3-afternoon-2,2018-01-31T03:15:09+09,2018-01-31T04:36:50+09,1,290,152,0,0,0,0
preston24/react-3-afternoon-2,https://github.com/preston24/react-3-afternoon-2,2018-01-31T03:18:03+09,2018-02-02T08:15:08+09,1,150,30,0,0,0,0
dpacker360/react-3-afternoon-2,https://github.com/dpacker360/react-3-afternoon-2,2018-01-31T03:19:06+09,2018-01-31T09:02:57+09,1,126,29,0,0,0,0
Garrettcraig4/react-3-afternoon-2,https://github.com/Garrettcraig4/react-3-afternoon-2,2018-01-31T03:53:04+09,2018-02-01T07:00:06+09,2,739,546,0,0,0,0
Jpecina/react-3-afternoon-2,https://github.com/Jpecina/react-3-afternoon-2,2018-01-31T03:57:02+09,2018-02-07T11:15:16+09,3,159,32,0,0,0,0
TrampleFirstStrike/react-3-afternoon-2,https://github.com/TrampleFirstStrike/react-3-afternoon-2,2018-01-31T03:57:16+09,2018-03-22T23:59:53+09,2,168,33,0,0,0,0
michaelStillwell/react-3-afternoon-2,https://github.com/michaelStillwell/react-3-afternoon-2,2018-01-31T04:02:35+09,2018-01-31T08:29:06+09,1,184,958,0,0,0,0
RyanD860/react-3-afternoon-2,https://github.com/RyanD860/react-3-afternoon-2,2018-01-31T04:06:28+09,2018-01-31T06:37:52+09,1,754,534,0,0,0,0
LoganSimonsen/react-3-afternoon-2,https://github.com/LoganSimonsen/react-3-afternoon-2,2018-01-31T04:08:15+09,2018-01-31T06:05:48+09,1,139,941,0,0,0,0
saradaniellesmith/react-3-afternoon-2,https://github.com/saradaniellesmith/react-3-afternoon-2,2018-01-31T04:16:51+09,2018-01-31T08:45:19+09,1,138,40,0,0,0,0
tiffanyls/react-3-afternoon-2,https://github.com/tiffanyls/react-3-afternoon-2,2018-01-31T04:18:01+09,2018-01-31T08:45:18+09,7,113,27,0,0,0,0
Mkoerber7/react-3-afternoon-2,https://github.com/Mkoerber7/react-3-afternoon-2,2018-01-31T04:23:48+09,2018-01-31T07:07:14+09,1,636,58,0,0,0,0
zcericola/react-3-afternoon-2,https://github.com/zcericola/react-3-afternoon-2,2018-01-31T04:25:42+09,2018-01-31T06:42:15+09,1,643,39,0,0,0,0
Jaquin92/react-3-afternoon-2,https://github.com/Jaquin92/react-3-afternoon-2,2018-01-31T04:28:36+09,2018-01-31T08:55:38+09,1,726,552,0,0,0,0
garmeil/react-3-afternoon-2,https://github.com/garmeil/react-3-afternoon-2,2018-01-31T04:32:00+09,2018-01-31T08:05:53+09,1,855,577,0,0,0,0
XavierCarpenter/react-3-afternoon-2,https://github.com/XavierCarpenter/react-3-afternoon-2,2018-01-31T04:39:20+09,2018-01-31T11:40:35+09,1,753,1438,0,0,0,0
karasworld/react-3-afternoon-2,https://github.com/karasworld/react-3-afternoon-2,2018-01-31T04:52:48+09,2018-01-31T06:45:34+09,1,659,43,0,0,0,0
