nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
fdidron/re-base,https://github.com/fdidron/re-base,2015-08-28T13:05:43+09,2015-09-14T21:21:29+09,5,187,8,37,0,0,0
jcgertig/re-base,https://github.com/jcgertig/re-base,2015-09-13T00:42:03+09,2015-10-05T11:36:42+09,7,55,35,0,0,0,0
golmansax/re-base,https://github.com/golmansax/re-base,2015-10-21T14:09:15+09,2015-10-21T15:02:01+09,1,29,32,0,0,0,0
ojame/re-base,https://github.com/ojame/re-base,2015-11-28T19:36:42+09,2015-11-29T08:19:04+09,7,194,3,30,0,0,0
reflog/re-base,https://github.com/reflog/re-base,2015-12-10T19:27:25+09,2015-12-10T19:29:21+09,1,10,0,0,0,0,0
marchon/re-base,https://github.com/marchon/re-base,2015-12-12T17:25:05+09,2015-12-12T18:18:57+09,4,12,6,0,0,0,0
bdougie/re-base,https://github.com/bdougie/re-base,2015-12-20T18:12:52+09,2015-12-20T18:13:59+09,1,1,1,1,1,0,0
bfollington/re-base,https://github.com/bfollington/re-base,2015-12-30T06:14:23+09,2016-04-17T18:34:55+09,25,167,28,11,5,0,0
benthemonkey/re-base,https://github.com/benthemonkey/re-base,2016-01-09T09:00:27+09,2016-01-12T08:47:31+09,3,11,6,4,1,0,0
granmoe/re-base,https://github.com/granmoe/re-base,2016-02-23T13:31:37+09,2016-02-25T14:03:11+09,3,62,50,0,0,0,0
anthonybrown/re-base,https://github.com/anthonybrown/re-base,2016-02-26T12:13:05+09,2016-03-15T11:12:34+09,2,1,1,1,1,0,0
dswaby/re-base,https://github.com/dswaby/re-base,2016-03-15T04:31:05+09,2016-03-15T04:32:45+09,1,1,1,1,1,0,0
foffer/re-base,https://github.com/foffer/re-base,2016-03-16T03:18:14+09,2016-03-16T03:39:00+09,1,71,0,0,0,0,0
qwales1/re-base,https://github.com/qwales1/re-base,2016-06-06T07:05:17+09,2017-11-11T11:36:25+09,328,24821,2793,861,189,69,8
srinivasdamam/re-base,https://github.com/srinivasdamam/re-base,2016-09-21T16:39:17+09,2016-10-20T02:27:37+09,3,17,26,17,26,0,0
bgates/re-base,https://github.com/bgates/re-base,2016-11-16T05:14:49+09,2016-11-16T05:21:20+09,1,49,10,0,0,0,0
johnlindquist/re-base,https://github.com/johnlindquist/re-base,2017-04-14T06:34:59+09,2017-04-14T07:11:13+09,1,592,559,0,0,0,0
TheHandsomeCoder/re-base,https://github.com/TheHandsomeCoder/re-base,2017-05-11T06:00:16+09,2017-07-17T22:36:00+09,15,792,85,4,2,2,0
jackoliver/re-base,https://github.com/jackoliver/re-base,2017-12-15T21:32:13+09,2017-12-15T21:34:37+09,1,2,30,2,30,0,0
Mattlk13/re-base,https://github.com/Mattlk13/re-base,2018-05-10T03:08:25+09,2018-07-23T15:03:58+09,13,4141,1856,338,275,0,0
BentoBrowser/re-base,https://github.com/BentoBrowser/re-base,2018-06-06T04:08:49+09,2018-06-20T14:19:46+09,3,1237,232,0,0,0,0
