nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
hfendou/WechatVideoCourse,https://github.com/hfendou/WechatVideoCourse,2018-01-28T16:10:13+09,2018-09-20T16:04:32+09,87,176583,16,3,1,472,0
lwj0310/WechatVideoCourse,https://github.com/lwj0310/WechatVideoCourse,2018-01-29T09:22:39+09,2018-04-03T20:34:07+09,62,145370,2,2,0,357,0
fuhuiping/WechatVideoCourse,https://github.com/fuhuiping/WechatVideoCourse,2018-01-29T11:19:47+09,2018-01-29T12:13:14+09,1,4,1,0,0,0,0
jiayousoft/WechatVideoCourse,https://github.com/jiayousoft/WechatVideoCourse,2018-01-31T10:48:26+09,2018-03-03T10:14:13+09,49,87218,6,2,0,216,0
Yeshdok/WechatVideoCourse,https://github.com/Yeshdok/WechatVideoCourse,2018-02-04T22:08:32+09,2018-05-12T17:21:21+09,73,147578,7,3,1,403,0
liuw79/WechatVideoCourse,https://github.com/liuw79/WechatVideoCourse,2018-02-09T21:08:39+09,2018-02-09T21:18:30+09,1,2,2,0,0,0,0
MageChen/WechatVideoCourse,https://github.com/MageChen/WechatVideoCourse,2018-05-02T18:24:48+09,2018-05-14T12:59:45+09,10,675,32,1,1,9,0
Lu-Lucifer/WechatVideoCourse,https://github.com/Lu-Lucifer/WechatVideoCourse,2018-05-10T22:46:06+09,2018-10-05T05:55:41+09,11,1094,23,0,0,13,0
lpb243310820/WechatVideoCourse,https://github.com/lpb243310820/WechatVideoCourse,2018-06-20T11:04:06+09,2019-02-14T13:31:25+09,13,31896,131,0,0,123,1
michaeljxf/WechatVideoCourse,https://github.com/michaeljxf/WechatVideoCourse,2018-06-26T14:17:16+09,2018-07-18T12:46:00+09,3,361,1,0,0,6,0
