"nameWithOwner","url","createdAt","committedDate","commitCountAfterFork"
"cuongmv162/SwipeableCard","https://github.com/cuongmv162/SwipeableCard","2016-05-05T04:01:40Z","2016-03-19T23:48:11Z",0
"MStart/SwipeableCard","https://github.com/MStart/SwipeableCard","2016-05-06T01:44:43Z","2016-03-19T23:48:11Z",0
"luxiaoming/SwipeableCard","https://github.com/luxiaoming/SwipeableCard","2016-05-09T02:15:46Z","2016-03-19T23:48:11Z",0
"yanglangfei/SwipeableCard","https://github.com/yanglangfei/SwipeableCard","2016-05-21T04:52:31Z","2016-03-19T23:48:11Z",0
"anvesh523/SwipeableCard","https://github.com/anvesh523/SwipeableCard","2016-05-28T11:53:41Z","2016-05-23T08:51:59Z",0
"armoun/SwipeableCard","https://github.com/armoun/SwipeableCard","2016-06-16T12:45:21Z","2016-05-23T08:51:59Z",0
"TKNUK026/SwipeableCard","https://github.com/TKNUK026/SwipeableCard","2016-06-17T05:12:19Z","2016-05-23T08:51:59Z",0
"cuitiantian2016/SwipeableCard","https://github.com/cuitiantian2016/SwipeableCard","2016-06-23T01:57:20Z","2016-05-23T08:51:59Z",0
"ijzepeda/SwipeableCard","https://github.com/ijzepeda/SwipeableCard","2016-07-12T22:11:51Z","2016-07-07T14:29:58Z",0
"Bill2048/SwipeableCard","https://github.com/Bill2048/SwipeableCard","2016-07-16T17:36:34Z","2016-07-07T14:29:58Z",0
"changjiashuai/SwipeableCard","https://github.com/changjiashuai/SwipeableCard","2016-07-21T16:16:06Z","2016-07-07T14:29:58Z",0
"shiloSoft/SwipeableCard","https://github.com/shiloSoft/SwipeableCard","2016-08-16T14:57:36Z","2016-07-07T14:29:58Z",0
"assanee/SwipeableCard","https://github.com/assanee/SwipeableCard","2016-08-20T10:38:30Z","2016-07-07T14:29:58Z",0
"Geek365/SwipeableCard","https://github.com/Geek365/SwipeableCard","2016-08-22T08:37:34Z","2016-07-07T14:29:58Z",0
"cuongnb/SwipeableCard","https://github.com/cuongnb/SwipeableCard","2016-08-25T17:00:38Z","2016-07-07T14:29:58Z",0
