nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
flecoufle/websocket-chat,https://github.com/flecoufle/websocket-chat,2019-05-09T20:53:49+09,2019-05-09 23:44:10+09:00,4,1373,1373,0,0,0,0,1557413050,0.0,0.3,0.016794007677975214,0.7767705382436261,,,0.0,0.0,
bmanth60/websocket-chat,https://github.com/bmanth60/websocket-chat,2020-05-04T09:47:29+09,2020-05-04 10:06:12+09:00,1,30,2,0,0,1,0,1588554372,0.2824718082154082,0.0,0.0,0.0,,,0.09090909090909091,0.0,
artemshar/websocket-chat,https://github.com/artemshar/websocket-chat,2021-07-08T23:07:42+09,2021-07-09 02:15:15+09:00,2,5989,4,0,0,1,0,1625764515,0.6199917239455083,0.1,0.07451637509534945,0.0011331444759206798,,,0.09090909090909091,0.0,
jangByeongHui/websocket-chat,https://github.com/jangByeongHui/websocket-chat,2022-06-18T17:54:45+09,2022-11-05 23:33:40+09:00,11,79999,1767,0,0,11,9,1667658820,1.0,1.0,1.0,1.0,,,1.0,1.0,
