nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
flecoufle/websocket-chat,https://github.com/flecoufle/websocket-chat,2019-05-09T20:53:49+09,2019-05-09T23:44:10+09,4,1373,1373,0,0,0,0
bmanth60/websocket-chat,https://github.com/bmanth60/websocket-chat,2020-05-04T09:47:29+09,2020-05-04T10:06:12+09,1,30,2,0,0,1,0
artemshar/websocket-chat,https://github.com/artemshar/websocket-chat,2021-07-08T23:07:42+09,2021-07-09T02:15:15+09,2,5989,4,0,0,1,0
jangByeongHui/websocket-chat,https://github.com/jangByeongHui/websocket-chat,2022-06-18T17:54:45+09,2022-11-05T23:33:40+09,11,79999,1767,0,0,11,9
