nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
GulajavaMinistudio/DrawRouteMaps,https://github.com/GulajavaMinistudio/DrawRouteMaps,2016-11-14T16:57:29+09,2018-04-06T07:33:21+09,11,54,51,17,8,0,0
bareq/DrawRouteMaps,https://github.com/bareq/DrawRouteMaps,2017-04-12T22:40:56+09,2017-11-24T23:31:13+09,18,436,44,6,1,4,0
ishaquehassan/DrawRouteMaps,https://github.com/ishaquehassan/DrawRouteMaps,2017-12-10T04:18:06+09,2017-12-10T04:21:54+09,1,2,2,0,0,0,0
jayluxferro/DrawRouteMaps,https://github.com/jayluxferro/DrawRouteMaps,2018-11-06T02:05:19+09,2018-11-06T02:08:28+09,2,3830,73,0,0,35,3
EneasVVA/DrawRouteMaps,https://github.com/EneasVVA/DrawRouteMaps,2019-04-27T19:53:13+09,2019-05-03T16:23:24+09,3,339,18,0,0,3,0
MGRagab/DrawRouteMaps,https://github.com/MGRagab/DrawRouteMaps,2019-08-02T03:21:16+09,2019-08-02T04:06:23+09,1,32,22,0,0,3,0
luiszheng0627/DrawRouteMaps,https://github.com/luiszheng0627/DrawRouteMaps,2020-01-24T01:02:59+09,2020-01-24T02:08:10+09,4,28,160,0,0,0,7
u-sai32/DrawRouteMaps,https://github.com/u-sai32/DrawRouteMaps,2020-03-28T20:25:11+09,2020-03-28T20:48:42+09,9,35,11,0,0,1,0
Biangkerok32/DrawRouteMaps,https://github.com/Biangkerok32/DrawRouteMaps,2020-03-29T12:35:58+09,2020-03-29T12:45:49+09,8,42,17,0,0,1,0
rizabudi/DrawRouteMaps,https://github.com/rizabudi/DrawRouteMaps,2022-07-30T14:45:57+09,2023-09-15T07:05:28+09,7,20,17,0,0,0,0
