nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
shalk/Mojo-Webqq,https://github.com/shalk/Mojo-Webqq,2015-06-19T10:30:43+09,2016-01-25T15:41:54+09,235,7195,1476,201,0,29,1
neilb/Mojo-Webqq,https://github.com/neilb/Mojo-Webqq,2015-08-24T06:39:11+09,2015-08-24T06:41:22+09,1,1,0,0,0,0,0
0312birdzhang/Mojo-Webqq,https://github.com/0312birdzhang/Mojo-Webqq,2016-02-18T18:43:07+09,2016-02-18T18:44:51+09,1,18,0,18,0,0,0
bollwarm/Mojo-Webqq,https://github.com/bollwarm/Mojo-Webqq,2016-02-25T11:52:13+09,2018-05-02T12:28:32+09,500,9936,3733,156,77,38,11
hyvinlam/Mojo-Webqq,https://github.com/hyvinlam/Mojo-Webqq,2016-03-21T15:21:23+09,2016-03-21T16:51:00+09,3,88,0,0,0,1,0
btbxbob/Mojo-Webqq,https://github.com/btbxbob/Mojo-Webqq,2016-03-24T18:12:44+09,2017-02-05T16:52:13+09,281,9752,3519,114,56,52,12
Adam24Eve/Mojo-Webqq,https://github.com/Adam24Eve/Mojo-Webqq,2016-08-14T04:11:59+09,2016-10-10T15:15:13+09,31,277,70,22,6,3,0
yangchuansheng/Mojo-Webqq,https://github.com/yangchuansheng/Mojo-Webqq,2016-11-18T20:51:46+09,2019-04-10T15:19:27+09,332,8039,4150,47,53,22,14
HubertZhang/Mojo-Webqq,https://github.com/HubertZhang/Mojo-Webqq,2016-12-29T04:12:55+09,2017-07-18T17:22:17+09,167,4330,399,24,33,13,2
zhangzheng1212/Mojo-Webqq,https://github.com/zhangzheng1212/Mojo-Webqq,2018-01-11T12:49:49+09,2018-01-11T12:53:36+09,2,0,279,0,279,0,1
lifansama/Mojo-Webqq,https://github.com/lifansama/Mojo-Webqq,2018-10-22T15:39:17+09,2019-04-10T15:19:27+09,18,62,38,3,1,1,0
anner-wang/Mojo-Webqq,https://github.com/anner-wang/Mojo-Webqq,2019-03-21T16:35:50+09,2019-03-21T16:43:47+09,1,2,10,2,10,0,0
