nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
derekja/redux-webpack-es6-boilerplate,https://github.com/derekja/redux-webpack-es6-boilerplate,2016-03-07T12:45:26+09,2016-04-19T15:30:12+09,27,733,191,0,0,11,0
andrepcg/redux-webpack-es6-boilerplate,https://github.com/andrepcg/redux-webpack-es6-boilerplate,2016-04-27T23:23:44+09,2016-04-29T02:30:15+09,6,5,1,0,0,0,0
jondot/redux-webpack-es6-boilerplate,https://github.com/jondot/redux-webpack-es6-boilerplate,2016-07-02T23:02:57+09,2016-07-02T23:04:47+09,2,22,30,0,0,0,0
manishshanker/redux-webpack-es6-boilerplate,https://github.com/manishshanker/redux-webpack-es6-boilerplate,2016-07-03T08:13:11+09,2019-06-20T22:40:21+09,1,8,0,0,0,1,0
amilajack/redux-webpack-es6-boilerplate,https://github.com/amilajack/redux-webpack-es6-boilerplate,2016-08-30T02:19:02+09,2017-01-10T23:02:11+09,33,712,319,66,14,24,9
atshakil/react-redux-scaffold,https://github.com/atshakil/react-redux-scaffold,2016-09-02T18:15:00+09,2017-03-06T13:49:43+09,1,0,709,0,3,0,41
hubpan/redux-webpack-es6-boilerplate,https://github.com/hubpan/redux-webpack-es6-boilerplate,2016-09-16T16:41:38+09,2016-09-16T17:01:08+09,1,1,1,0,0,0,0
umanghome/redux-webpack-es6-login,https://github.com/umanghome/redux-webpack-es6-login,2016-12-26T22:52:40+09,2016-12-26T23:15:26+09,1,202,6,0,0,7,0
teespring-labs/redux-webpack-es6-boilerplate,https://github.com/teespring-labs/redux-webpack-es6-boilerplate,2017-01-04T08:28:51+09,2017-01-04T08:36:45+09,1,12,2,0,0,0,0
napon/redux-webpack-es6-boilerplate,https://github.com/napon/redux-webpack-es6-boilerplate,2017-01-14T15:35:10+09,2017-01-14T16:48:40+09,1,20,401,0,0,2,17
kodell/ohm,https://github.com/kodell/ohm,2017-01-30T05:43:02+09,2017-02-23T09:51:27+09,31,664,608,3,167,22,16
ThembisileNGQ/redux-webpack-es6-boilerplate,https://github.com/ThembisileNGQ/redux-webpack-es6-boilerplate,2017-02-21T15:47:02+09,2017-03-08T03:11:59+09,5,62,53,0,0,0,1
jamesku/redux-webpack-es6-boilerplate,https://github.com/jamesku/redux-webpack-es6-boilerplate,2017-03-08T03:57:59+09,2017-03-12T01:12:02+09,1,1048,43,0,0,19,0
angelyordanov/redux-webpack-es6-boilerplate,https://github.com/angelyordanov/redux-webpack-es6-boilerplate,2017-03-24T20:28:33+09,2017-03-30T20:20:59+09,11,6076,550,0,12,8,13
leonorfmartins/redux-webpack-es6-boilerplate,https://github.com/leonorfmartins/redux-webpack-es6-boilerplate,2017-05-27T01:17:50+09,2017-05-30T16:39:38+09,5,67,421,0,0,2,18
adelaveres/redux-webpack-es6-boilerplate,https://github.com/adelaveres/redux-webpack-es6-boilerplate,2017-08-09T20:50:26+09,2017-08-09T21:02:14+09,1,12513,0,0,0,1,0
