nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
sretundijr/react-hot-cold,https://github.com/sretundijr/react-hot-cold,2017-08-27T14:52:05+09,2017-09-03 15:04:44+09:00,4,328,116,0,0,12,0,1504418684,0.19911612940917692,0.0625,0.027442371020856202,0.012520237452779278,,,0.3157894736842105,0.0,
aaronleebrooks/react-hot-cold,https://github.com/aaronleebrooks/react-hot-cold,2017-08-28T01:00:16+09,2017-08-30 12:16:38+09:00,1,6286,80,0,0,4,0,1504062998,0.19343852348980434,0.0,0.5305243603816601,0.008634646519158122,,,0.10526315789473684,0.0,
jamicope/react-hot-cold,https://github.com/jamicope/react-hot-cold,2017-09-01T04:44:53+09,2017-09-05 08:51:14+09:00,1,169,119,0,0,3,0,1504569074,0.20151671631508394,0.0,0.014016718736806552,0.012844036697247707,,,0.07894736842105263,0.0,
SirRobZ/react-hot-cold,https://github.com/SirRobZ/react-hot-cold,2017-09-13T00:42:43+09,2017-09-13 04:14:56+09:00,2,193,2,0,0,9,0,1505243696,0.21228530957019934,0.020833333333333332,0.016043232289115934,0.00021586616297895306,,,0.23684210526315788,0.0,
HurricanePete/react-hot-cold,https://github.com/HurricanePete/react-hot-cold,2017-09-26T05:26:20+09,2017-09-28 04:11:10+09:00,5,181,3,0,0,9,0,1506539470,0.23296898599426183,0.08333333333333333,0.015029975512961242,0.0003237992444684296,,,0.23684210526315788,0.0,
stevengalvis/react-hot-cold,https://github.com/stevengalvis/react-hot-cold,2017-10-01T05:46:31+09,2017-10-01 09:31:30+09:00,5,109,41,0,0,3,0,1506817890,0.23741324030866193,0.08333333333333333,0.0089504348560331,0.004425256341068538,,,0.07894736842105263,0.0,
michaelablackham/react-hot-cold,https://github.com/michaelablackham/react-hot-cold,2017-10-05T03:49:36+09,2017-10-08 11:47:04+09:00,8,9139,3,0,0,11,0,1507430824,0.24719714438862211,0.14583333333333334,0.7714261589124377,0.0003237992444684296,,,0.2894736842105263,0.0,
LeCatalyser/react-hot-cold,https://github.com/LeCatalyser/react-hot-cold,2017-10-05T09:25:48+09,2017-10-18 12:37:33+09:00,3,222,126,0,0,4,0,1508297853,0.261037017149056,0.041666666666666664,0.018491936164823104,0.013599568267674042,,,0.10526315789473684,0.0,
imagineLife/react-hot-cold,https://github.com/imagineLife/react-hot-cold,2017-10-08T20:31:46+09,2017-10-14 03:14:59+09:00,11,9260,48,0,0,11,0,1507918499,0.2549816128994154,0.20833333333333334,0.7816431647386642,0.005180787911494874,,,0.2894736842105263,0.0,
BurntNerve/react-hot-cold,https://github.com/BurntNerve/react-hot-cold,2017-10-24T01:20:25+09,2017-10-30 04:13:44+09:00,2,9299,192,0,0,4,0,1509304424,0.2771043165869557,0.020833333333333332,0.7849362492611669,0.020723151645979494,,,0.10526315789473684,0.0,
DarcyDeAngeloWoolsey/react-hot-cold,https://github.com/DarcyDeAngeloWoolsey/react-hot-cold,2017-10-27T01:54:33+09,2017-11-28 02:23:31+09:00,4,228,46,0,0,5,0,1511803411,0.3169941727624452,0.0625,0.018998564552900447,0.00496492174851592,,,0.13157894736842105,0.0,
jessicaann/react-hot-cold2,https://github.com/jessicaann/react-hot-cold2,2017-11-02T00:11:28+09,2017-11-03 23:47:22+09:00,5,35,9,0,0,1,0,1509720442,0.28374496665292837,0.08333333333333333,0.0027020180697458415,0.0009713977334052887,,,0.02631578947368421,0.0,
inconbeo/react-hot-cold,https://github.com/inconbeo/react-hot-cold,2017-11-07T07:35:13+09,2017-11-10 08:27:55+09:00,1,8659,3,0,0,1,0,1510270075,0.29251843418969536,0.0,0.7308958878662501,0.0003237992444684296,,,0.02631578947368421,0.0,
jhnnyk/react-hot-cold,https://github.com/jhnnyk/react-hot-cold,2017-11-08T02:43:34+09,2017-11-11 04:11:56+09:00,6,9707,380,0,0,9,0,1510341116,0.29365241978968565,0.10416666666666667,0.8193869796504264,0.04101457096600108,,,0.23684210526315788,0.0,
tonybrancato/react-hot-cold,https://github.com/tonybrancato/react-hot-cold,2017-11-12T03:31:03+09,2017-11-12 07:49:02+09:00,1,9217,162,0,0,4,0,1510440542,0.2952394984099843,0.0,0.7780123279574432,0.017485159201295196,,,0.10526315789473684,0.0,
nateusmc/react-hot-cold,https://github.com/nateusmc/react-hot-cold,2017-11-14T04:36:25+09,2017-11-15 07:10:48+09:00,14,11846,5686,0,0,4,1,1510697448,0.2993403374262018,0.2708333333333333,1.0,0.6137075013491635,,,0.10526315789473684,0.5,
jadams1978/react-hot-cold,https://github.com/jadams1978/react-hot-cold,2017-11-27T06:09:52+09,2017-11-27 11:46:12+09:00,2,9449,125,0,0,15,0,1511750772,0.3161539274393516,0.020833333333333332,0.7976019589631006,0.013491635186184566,,,0.39473684210526316,0.0,
camerondodd/react-hot-cold,https://github.com/camerondodd/react-hot-cold,2017-11-27T23:19:39+09,2017-11-28 05:14:11+09:00,4,8324,127,0,0,13,0,1511813651,0.3171576278453396,0.0625,0.7026091361985983,0.013707501349163518,,,0.34210526315789475,0.0,
kevinlnichols/react-hot-cold,https://github.com/kevinlnichols/react-hot-cold,2017-12-02T03:04:23+09,2017-12-13 10:38:02+09:00,4,558,1391,0,0,17,0,1513129082,0.33815507737139966,0.0625,0.04686312589715444,0.15013491635186185,,,0.4473684210526316,0.0,
pheiselmann/react-hot-cold,https://github.com/pheiselmann/react-hot-cold,2017-12-08T11:49:09+09,2017-12-08 16:23:07+09:00,23,201,131,0,0,3,0,1512717787,0.33158981776992996,0.4583333333333333,0.016718736806552392,0.014139233675121425,,,0.07894736842105263,0.0,
marquesRepo/react-hot-cold,https://github.com/marquesRepo/react-hot-cold,2017-12-12T09:07:28+09,2017-12-24 12:33:00+09:00,1,102,2,0,0,3,0,1514086380,0.3534358609597431,0.0,0.008359368403276196,0.00021586616297895306,,,0.07894736842105263,0.0,
alimac2/react-hot-cold,https://github.com/alimac2/react-hot-cold,2017-12-12T09:27:08+09,2018-01-07 08:54:50+09:00,49,782,1361,0,0,19,0,1515282890,0.3725350446739981,1.0,0.06577725238537532,0.14689692390717754,,,0.5,0.0,
chang-steven/react-hot-cold-1,https://github.com/chang-steven/react-hot-cold-1,2017-12-21T05:08:31+09,2017-12-21 08:26:39+09:00,1,160,118,0,0,3,0,1513812399,0.34906246378528133,0.0,0.013256776154690534,0.01273610361575823,,,0.07894736842105263,0.0,
Daniel-Slabaugh/react-hot-cold,https://github.com/Daniel-Slabaugh/react-hot-cold,2017-12-23T09:49:20+09,2017-12-23 12:21:33+09:00,2,290,8,0,0,12,0,1513999293,0.35204574252185017,0.020833333333333332,0.024233724563033014,0.0008634646519158122,,,0.3157894736842105,0.0,
kim-josh/react-hot-cold,https://github.com/kim-josh/react-hot-cold,2017-12-27T08:14:18+09,2017-12-28 13:56:55+09:00,1,141,120,0,0,3,0,1514437015,0.3590328407439888,0.0,0.011652452925778942,0.012951969778737183,,,0.07894736842105263,0.0,
kelseybutler9/react-hot-cold,https://github.com/kelseybutler9/react-hot-cold,2017-12-28T00:20:13+09,2018-01-08 06:06:03+09:00,4,435,127,0,0,17,0,1515359163,0.3737525456054047,0.0625,0.03647724394156886,0.013707501349163518,,,0.4473684210526316,0.0,
BlueLB84/react-hot-cold-redux,https://github.com/BlueLB84/react-hot-cold-redux,2018-01-06T07:50:10+09,2018-01-06 10:42:48+09:00,2,134,57,0,0,3,0,1515202968,0.3712592969068999,0.020833333333333332,0.011061386473022038,0.006152185644900162,,,0.07894736842105263,0.0,
mosef/react-hot-cold,https://github.com/mosef/react-hot-cold,2018-01-15T05:16:38+09,2018-01-15 06:58:36+09:00,1,229,186,0,0,5,2,1515967116,0.38345694091896876,0.0,0.019083002617580006,0.020075553157042635,,,0.13157894736842105,1.0,
nbradf2/react-hot-cold,https://github.com/nbradf2/react-hot-cold,2018-01-15T07:37:58+09,2018-01-20 10:03:10+09:00,19,421,126,0,0,14,0,1516410190,0.3905294699617764,0.375,0.03529511103605505,0.013599568267674042,,,0.3684210526315789,0.0,
djiani/react-hot-cold,https://github.com/djiani/react-hot-cold,2018-01-17T05:53:17+09,2018-01-19 01:07:20+09:00,3,176,136,0,0,3,0,1516291640,0.3886371262042442,0.041666666666666664,0.014607785189563455,0.014678899082568808,,,0.07894736842105263,0.0,
KatelinDeSerano/react-redux-hot-cold,https://github.com/KatelinDeSerano/react-redux-hot-cold,2018-01-24T03:15:01+09,2018-01-26 08:39:42+09:00,11,561,150,0,0,16,0,1516923582,0.39872444378182703,0.20833333333333334,0.04711644009119311,0.016189962223421478,,,0.42105263157894735,0.0,
katiewest820/react-hot-cold,https://github.com/katiewest820/react-hot-cold,2018-01-24T08:37:45+09,2018-01-25 03:32:02+09:00,2,118,1058,0,0,3,0,1516818722,0.3970506254232034,0.020833333333333332,0.009710377438149117,0.11419320021586617,,,0.07894736842105263,0.0,
csierra15/testing-react-hot-cold,https://github.com/csierra15/testing-react-hot-cold,2018-02-08T04:06:48+09,2018-02-08 05:39:27+09:00,3,3008,1185,0,0,12,0,1518035967,0.4164807897179091,0.041666666666666664,0.2537363843620704,0.1279007015650297,,,0.3157894736842105,0.0,
imhighyat/react-redux-hot-cold,https://github.com/imhighyat/react-redux-hot-cold,2018-02-21T16:16:55+09,2018-02-21 19:11:08+09:00,1,2906,1312,0,0,3,0,1519207868,0.435187154473673,0.0,0.24512370176475556,0.1416082029141932,,,0.07894736842105263,0.0,
rk-codes/react-hot-cold-redux,https://github.com/rk-codes/react-hot-cold-redux,2018-02-23T11:11:36+09,2018-02-24 15:29:22+09:00,3,118,74,0,0,3,0,1519453762,0.4391122154261373,0.041666666666666664,0.009710377438149117,0.007987048030221263,,,0.07894736842105263,0.0,
MollyJeanB/react-hot-cold,https://github.com/MollyJeanB/react-hot-cold,2018-03-08T10:38:46+09,2018-03-14 07:13:29+09:00,3,199,171,0,0,5,0,1520979209,0.46346202654293456,0.041666666666666664,0.01654986067719328,0.018456556934700486,,,0.13157894736842105,0.0,
