nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
mroswald/react-native-mock,https://github.com/mroswald/react-native-mock,2016-03-29T17:28:18+09,2016-07-21T08:12:38+09,102,1748,801,21,5,16,0
joeltrew/react-native-mock,https://github.com/joeltrew/react-native-mock,2016-03-31T23:43:37+09,2016-04-08T18:03:41+09,3,7626,5482,0,31,71,76
janmonschke/react-native-mock,https://github.com/janmonschke/react-native-mock,2016-04-01T21:22:03+09,2016-04-01T21:49:57+09,2,2,1,0,0,0,0
Amwam/react-native-mock,https://github.com/Amwam/react-native-mock,2016-04-05T20:28:10+09,2016-04-06T15:19:29+09,6,17,4,0,0,1,0
andrey-skl/react-native-mock,https://github.com/andrey-skl/react-native-mock,2016-04-06T02:09:44+09,2017-06-19T18:55:19+09,135,2376,913,23,5,31,0
p16/react-native-mock,https://github.com/p16/react-native-mock,2016-04-20T22:39:23+09,2016-06-16T22:05:06+09,80,1039,799,21,5,6,0
sreesharp/react-native-mock,https://github.com/sreesharp/react-native-mock,2016-05-05T02:13:04+09,2016-08-20T03:29:27+09,2,12,9,0,0,0,0
apprennet/react-native-mock,https://github.com/apprennet/react-native-mock,2016-05-07T04:24:09+09,2016-06-07T15:07:35+09,54,377,93,21,5,6,0
sibelius/react-native-mock,https://github.com/sibelius/react-native-mock,2016-05-12T06:43:39+09,2016-06-30T17:01:09+09,70,856,827,21,5,3,0
gswirski/react-native-mock,https://github.com/gswirski/react-native-mock,2016-05-19T17:41:17+09,2016-05-23T16:24:57+09,5,7839,71,0,0,109,0
chirag04/react-native-mock,https://github.com/chirag04/react-native-mock,2016-05-20T01:13:58+09,2016-05-24T19:10:17+09,10,8,5,0,0,0,0
livecirrus/react-native-mock,https://github.com/livecirrus/react-native-mock,2016-05-21T05:44:31+09,2016-05-21T05:50:50+09,1,2,2,0,0,0,0
ZauberNerd/react-native-mock,https://github.com/ZauberNerd/react-native-mock,2016-05-23T23:29:14+09,2016-10-28T16:59:53+09,115,1740,848,21,5,16,0
feyy/react-native-mock,https://github.com/feyy/react-native-mock,2016-05-27T16:36:41+09,2016-06-02T22:07:37+09,12,42,5,3,0,1,0
omeid/react-native-mock,https://github.com/omeid/react-native-mock,2016-05-29T17:53:01+09,2016-05-31T20:44:18+09,1,25,1,0,0,1,0
tomkur/react-native-mock,https://github.com/tomkur/react-native-mock,2016-05-30T20:15:02+09,2016-05-30T20:30:28+09,1,8,2,0,0,0,0
lulutia/react-native-mock,https://github.com/lulutia/react-native-mock,2016-06-03T17:48:40+09,2016-06-03T18:05:39+09,1,1,0,0,0,0,0
Odinvt/react-native-mock,https://github.com/Odinvt/react-native-mock,2016-06-04T05:49:01+09,2016-06-04T06:05:43+09,2,7,0,0,0,1,0
rt2zz/react-native-mock,https://github.com/rt2zz/react-native-mock,2016-06-07T08:16:27+09,2016-06-07T08:17:40+09,1,0,1,0,0,0,0
varmais/react-native-mock,https://github.com/varmais/react-native-mock,2016-06-13T16:33:31+09,2017-11-13T01:40:02+09,108,2524,1169,9,7,26,0
nilswloka/react-native-mock,https://github.com/nilswloka/react-native-mock,2016-06-25T23:00:48+09,2016-06-25T23:07:07+09,1,7037,3,0,0,91,0
audionerd/react-native-mock,https://github.com/audionerd/react-native-mock,2016-07-08T00:23:02+09,2016-07-08T00:34:07+09,1,241,0,0,0,3,0
keokilee/react-native-mock,https://github.com/keokilee/react-native-mock,2016-07-18T16:07:52+09,2016-07-18T16:14:10+09,1,1,1,0,0,0,0
m-vdb/react-native-mock,https://github.com/m-vdb/react-native-mock,2016-09-14T11:18:34+09,2017-02-04T04:36:10+09,54,430,72,9,7,11,0
viceversus/react-native-mock,https://github.com/viceversus/react-native-mock,2016-09-29T05:17:39+09,2016-09-29T08:03:50+09,3,7953,1,0,0,103,0
samuelnp/react-native-mock,https://github.com/samuelnp/react-native-mock,2016-10-03T16:53:11+09,2016-10-03T18:06:21+09,6,31,1,0,0,1,0
dingbat/react-native-mock,https://github.com/dingbat/react-native-mock,2016-10-26T23:41:43+09,2016-11-29T02:28:08+09,31,70,45,9,7,1,0
bullish-ventures/react-native-mock,https://github.com/bullish-ventures/react-native-mock,2016-11-17T01:06:20+09,2016-11-17T02:07:01+09,2,7,7,0,0,0,0
joemckie/react-native-mock,https://github.com/joemckie/react-native-mock,2016-11-21T01:06:00+09,2016-11-23T23:31:10+09,8,28,28,0,0,0,0
