nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
FJUT/netmusic-node,https://github.com/FJUT/netmusic-node,2017-03-01T23:24:28+09,2017-04-25 17:48:14+09:00,5,1124,182,2,1,2,0,1493110094,0.0,1.0,1.0,1.0,1.0,1.0,0.5,,
chrunlee/netmusic-node,https://github.com/chrunlee/netmusic-node,2017-12-22T18:11:46+09,2018-05-31 14:47:26+09:00,1,1,1,0,0,0,0,1527745646,0.17397608143524065,0.0,0.0,0.005494505494505495,0.0,0.0,0.0,,
wangmingdong/netmusic-node,https://github.com/wangmingdong/netmusic-node,2018-11-20T18:43:30+09,2018-11-20 18:44:22+09:00,1,771,3,0,0,4,0,1542707062,0.2491280099623943,0.0,0.6856634016028496,0.016483516483516484,0.0,0.0,1.0,,
doradombox/netmusic-node,https://github.com/doradombox/netmusic-node,2023-08-16T20:01:12+09,2023-08-16 22:25:57+09:00,2,10,0,0,0,1,0,1692192357,1.0,0.25,0.008014247551202136,0.0,0.0,0.0,0.25,,
