nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
Alro10/realtime_object_detection,https://github.com/Alro10/realtime_object_detection,2018-01-27T08:54:48+09,2019-08-08T03:32:26+09,8,326,4,10,4,4,0
naisy/realtime_object_detection,https://github.com/naisy/realtime_object_detection,2018-03-02T19:08:37+09,2020-07-31T12:56:34+09,176,8553,10484,400,46,71,54
nvnnghia/realtime_object_detection,https://github.com/nvnnghia/realtime_object_detection,2018-03-09T14:08:55+09,2018-07-23T14:40:13+09,8,19258,15,23,14,23,0
merryHunter/realtime_object_detection,https://github.com/merryHunter/realtime_object_detection,2018-06-04T16:55:23+09,2018-06-06T21:53:38+09,3,816,19,0,0,1,0
hoonkai/realtime_object_detection,https://github.com/hoonkai/realtime_object_detection,2019-09-26T18:22:57+09,2019-09-26T18:30:05+09,1,49,0,0,0,1,0
