nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
physera/tflite-react-native,https://github.com/physera/tflite-react-native,2019-07-16T09:42:36+09,2019-11-12 07:27:32+09:00,7,174,6897,0,348,2,80,1573511252,0.12282416115337874,0.6,0.04767153485808763,1.0,0.0,1.0,0.10526315789473684,1.0,0.48446985673827536
kaelhem/tflite-react-native,https://github.com/kaelhem/tflite-react-native,2019-09-09T21:58:08+09,2019-09-13 09:07:25+09:00,7,870,1716,56,46,8,12,1568333245,0.06698613279861179,0.6,0.2394599063102783,0.24880382775119617,1.0,0.13218390804597702,0.42105263157894735,0.15,0.3573108008106263
leonamjlpaula/tflite-react-native-alternative,https://github.com/leonamjlpaula/tflite-react-native-alternative,2020-04-07T02:12:20+09,2020-04-08 23:25:48+09:00,6,106,4940,2,98,0,74,1586355948,0.2613373959667658,0.5,0.02893359052080463,0.7162534435261708,0.03571428571428571,0.28160919540229884,0.0,0.925,0.34360598889129074
gash48/tflite-react-native,https://github.com/gash48/tflite-react-native,2020-09-26T02:30:16+09,2020-09-26 06:47:25+09:00,3,3630,4,0,0,19,0,1601070445,0.42001398731014045,0.2,1.0,0.0005799623024503408,0.0,0.0,1.0,0.0,0.32757424370157384
aftadizca/tflite-react-native,https://github.com/aftadizca/tflite-react-native,2020-04-03T02:57:15+09,2021-04-12 22:20:00+09:00,11,110,22,8,2,3,0,1618233600,0.6050961503020522,1.0,0.030035822540644807,0.003189792663476874,0.14285714285714285,0.005747126436781609,0.15789473684210525,0.0,0.24310259645527546
gpomponio/react-native-tensorflow-lite-android,https://github.com/gpomponio/react-native-tensorflow-lite-android,2022-05-30T19:39:16+09,2022-06-10 18:41:11+09:00,1,447,187,0,0,0,0,1654854071,1.0,0.0,0.12289887021217967,0.02711323763955343,0.0,0.0,0.0,0.0,0.14375151348146664
sarons/tflite-react-native,https://github.com/sarons/tflite-react-native,2022-01-01T05:15:59+09,2022-01-01 13:02:10+09:00,2,11,0,0,0,1,0,1641009730,0.8507069022287798,0.1,0.002755580049600441,0.0,0.0,0.0,0.05263157894736842,0.0,0.12576175765321856
dinesh-hannurkar/tflite-react-native,https://github.com/dinesh-hannurkar/tflite-react-native,2022-04-08T20:03:47+09,2022-04-08 20:20:34+09:00,1,22,8,0,0,0,0,1649416834,0.9413665153837011,0.0,0.005786718104160926,0.0011599246049006815,0.0,0.0,0.0,0.0,0.11853914476159534
Pingou/tflite-react-native,https://github.com/Pingou/tflite-react-native,2021-10-26T18:05:48+09,2021-10-26 18:18:06+09:00,1,9,2,0,0,0,0,1635239886,0.7884866864441,0.0,0.002204464039680353,0.0002899811512251704,0.0,0.0,0.0,0.0,0.09887264145437569
fullstackers/tflite-react-native,https://github.com/fullstackers/tflite-react-native,2021-01-06T01:34:59+09,2021-01-09 06:26:02+09:00,3,6,6,0,0,0,0,1610141162,0.5178297981122632,0.2,0.0013777900248002205,0.0008699434536755111,0.0,0.0,0.0,0.0,0.09000969144884235
giri-prasad/tflite-react-native,https://github.com/giri-prasad/tflite-react-native,2020-02-17T11:10:16+09,2020-02-17 11:54:16+09:00,2,1098,13,0,0,1,0,1581908056,0.21337270228926764,0.1,0.30228713144116837,0.0018848774829636073,0.0,0.0,0.05263157894736842,0.0,0.083772036270096
JulianoLoren/tflite-react-native,https://github.com/JulianoLoren/tflite-react-native,2021-06-09T00:53:14+09,2021-06-09 01:00:48+09:00,1,1,1,0,0,0,0,1623168048,0.6583077136195841,0.0,0.0,0.0001449905756125852,0.0,0.0,0.0,0.0,0.08230658802439958
handled/tflite-react-native,https://github.com/handled/tflite-react-native,2019-06-07T02:08:51+09,2019-07-03 11:37:25+09:00,6,32,15,6,4,0,0,1562121445,0.0,0.5,0.008542298153761367,0.002174858634188778,0.10714285714285714,0.011494252873563218,0.0,0.0,0.0786692833505463
LorandP/tflite-react-native,https://github.com/LorandP/tflite-react-native,2019-08-25T16:44:40+09,2019-08-25 16:48:55+09:00,1,40,440,0,0,0,0,1566719335,0.0495822257853455,0.0,0.01074676219344172,0.06379585326953748,0.0,0.0,0.0,0.0,0.015515605156040585
egasimus/tflite-react-native,https://github.com/egasimus/tflite-react-native,2019-07-07T06:23:26+09,2019-07-08 05:48:06+09:00,1,31,28,0,0,1,1,1562532486,0.004432539201467238,0.0,0.008266740148801324,0.0040597361171523854,0.0,0.0,0.05263157894736842,0.0125,0.010236324301848669
