nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
nakamura-to/spring-react-example,https://github.com/nakamura-to/spring-react-example,2015-02-21T08:44:32+09,2015-02-24T23:57:58+09,11,491,18424,24,3,10,5
brdloush/spring-react-example,https://github.com/brdloush/spring-react-example,2015-04-20T20:30:25+09,2015-04-20T22:53:04+09,2,31,17,0,0,0,0
svdberg/spring-react-example,https://github.com/svdberg/spring-react-example,2015-06-27T17:49:08+09,2015-07-13T18:37:45+09,2,3092,57,0,0,10,1
psporysz/spring-react-example,https://github.com/psporysz/spring-react-example,2015-09-09T00:41:02+09,2015-09-09T00:49:42+09,2,7,2,0,0,0,0
StarterInc/Ignite-Spring-React,https://github.com/StarterInc/Ignite-Spring-React,2016-03-02T01:56:25+09,2016-03-05T02:04:23+09,2,60681,5,0,0,1076,0
blacklgarto/spring-react-example,https://github.com/blacklgarto/spring-react-example,2016-05-19T06:11:51+09,2016-05-19T06:45:12+09,1,91,30,0,0,3,0
wangzhengbo/spring-react-example,https://github.com/wangzhengbo/spring-react-example,2017-09-15T13:54:05+09,2017-09-28T11:23:21+09,5,6605,27,0,0,7,0
prashish14/spring-react-example,https://github.com/prashish14/spring-react-example,2017-10-25T05:00:10+09,2017-10-25T09:29:36+09,1,0,3,0,0,0,0
simbo1905/spring-react-example,https://github.com/simbo1905/spring-react-example,2018-02-14T20:13:24+09,2018-02-14T20:17:18+09,1,98,2,0,0,0,0
chenhongen/spring-react-example,https://github.com/chenhongen/spring-react-example,2018-03-06T17:38:01+09,2018-03-06T23:26:29+09,2,6,22,0,0,0,1
