nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
NextZeus/react-native-redux-FeInn,https://github.com/NextZeus/react-native-redux-FeInn,2016-06-21T15:11:33+09,2016-08-08T23:20:45+09,50,2938,395,20,5,30,0
feiyuw/react-native-redux-FeInn,https://github.com/feiyuw/react-native-redux-FeInn,2016-06-28T14:34:29+09,2016-06-28T17:43:08+09,2,27,13,0,0,0,0
