nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
bahull/framework-shop,https://github.com/bahull/framework-shop,2017-10-25T03:38:57+09,2017-10-25T05:02:26+09,1,220,23,0,0,3,0
StiX1919/framework-shop,https://github.com/StiX1919/framework-shop,2017-10-25T03:43:29+09,2017-10-25T05:11:15+09,1,9216,24,0,0,4,0
DevMountain2/framework-shop,https://github.com/DevMountain2/framework-shop,2017-10-25T03:44:46+09,2017-10-25T05:19:27+09,1,9363,156,0,0,4,0
ericdrewes/framework-shop,https://github.com/ericdrewes/framework-shop,2017-10-25T04:24:02+09,2017-11-08T02:08:31+09,3,8380,163,0,0,4,0
valcodes/framework-shop,https://github.com/valcodes/framework-shop,2017-10-25T04:27:19+09,2017-10-25T11:27:58+09,1,9368,153,0,0,4,0
Ajaalexandra/framework-shop,https://github.com/Ajaalexandra/framework-shop,2017-10-25T04:36:01+09,2017-10-25T13:29:51+09,1,9375,151,0,0,4,0
kLPham/framework-shop,https://github.com/kLPham/framework-shop,2017-10-25T05:03:02+09,2017-10-25T13:43:40+09,1,9358,135,0,0,4,0
ccorkery97/framework-shop,https://github.com/ccorkery97/framework-shop,2017-10-25T05:16:14+09,2017-10-25T05:48:51+09,1,9292,152,0,0,3,0
dmndc/framework-shop,https://github.com/dmndc/framework-shop,2017-10-25T07:11:00+09,2017-10-25T11:51:07+09,1,9329,114,0,0,4,0
gcho91/framework-shop,https://github.com/gcho91/framework-shop,2017-10-26T03:39:04+09,2017-10-26T06:51:06+09,5,9299,65,0,0,4,0
BuddhaTheChef/framework-shop,https://github.com/BuddhaTheChef/framework-shop,2017-10-26T03:39:19+09,2017-10-26T05:26:53+09,1,201,34,0,0,3,0
AtwoodStewart98/framework-shop,https://github.com/AtwoodStewart98/framework-shop,2017-10-26T03:40:18+09,2017-10-26T05:33:12+09,1,9367,178,0,0,4,0
scottj1426/framework-shop,https://github.com/scottj1426/framework-shop,2017-10-26T03:42:00+09,2017-10-26T04:55:32+09,1,320,152,0,0,3,0
chuckcipione/framework-shop,https://github.com/chuckcipione/framework-shop,2017-10-26T03:42:45+09,2017-10-26T05:06:54+09,1,9347,134,0,0,4,0
rileydadair/framework-shop,https://github.com/rileydadair/framework-shop,2017-10-26T03:44:22+09,2017-10-26T05:35:27+09,1,9293,77,0,0,4,0
giaonguyenn/framework-shop,https://github.com/giaonguyenn/framework-shop,2017-10-26T03:45:24+09,2017-10-26T16:13:12+09,1,146,43,0,0,3,0
GradyTruitt/framework-shop,https://github.com/GradyTruitt/framework-shop,2017-10-26T03:54:49+09,2017-10-26T05:40:57+09,1,239,59,0,0,3,0
KyleCieskiewicz/framework-shop,https://github.com/KyleCieskiewicz/framework-shop,2017-10-26T04:00:14+09,2017-10-26T05:35:38+09,1,262,156,0,0,3,0
SavyParchman/framework-shop,https://github.com/SavyParchman/framework-shop,2017-10-26T04:00:23+09,2017-10-26T05:13:03+09,1,9231,26,0,0,4,0
screamworks/framework-shop,https://github.com/screamworks/framework-shop,2017-10-26T04:10:40+09,2017-10-26T07:14:17+09,1,9351,139,0,0,4,0
bikerstevewebdev/framework-shop,https://github.com/bikerstevewebdev/framework-shop,2018-02-15T00:17:32+09,2018-02-15T06:45:22+09,1,6,1,0,0,1,0
