nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files,commitedDate_unix,commitedDate_norm,commit_count_norm,insertion_lines_norm,deletion_lines_norm,insertion_lines_readme_norm,deletion_lines_readme_norm,create_files_norm,delete_files_norm,score
tenondecrpc/real-estate-app-ui,https://github.com/tenondecrpc/real-estate-app-ui,2018-10-10T05:26:54+09,2018-10-19 03:18:17+09:00,4,879,71,0,0,0,0,1539886697,0.0,1.0,0.0,0.0298572046733016,0.0,,0.0,,
arshadalis/real-estate-app-ui,https://github.com/arshadalis/real-estate-app-ui,2022-06-28T01:41:41+09,2022-06-28 03:08:19+09:00,2,27807,2313,15,0,7,0,1656353299,0.8980508720295997,0.3333333333333333,1.0,1.0,1.0,,1.0,,
curtwortman/real-estate-app-ui,https://github.com/curtwortman/real-estate-app-ui,2022-11-28T03:47:30+09,2022-11-28 03:48:18+09:00,1,14440,2,0,0,1,0,1669574898,1.0,0.0,0.5036021984551396,0.0,0.0,,0.14285714285714285,,
