nameWithOwner,url,createdAt,commitedDate,commitCountAfterFork,number_of_insertion_lines,number_of_deletion_lines,number_of_insertion_lines_in_readme,number_of_deletion_lines_in_readme,number_of_create_files,number_of_delete_files
KaraCav/employee-manager,https://github.com/KaraCav/employee-manager,2017-10-17T01:02:50+09,2017-10-17T07:08:06+09,1,80,32,0,0,0,0
cgroane/employee-manager,https://github.com/cgroane/employee-manager,2017-10-17T02:05:51+09,2017-10-17T11:59:44+09,2,547,25,0,0,3,0
LeahDombrosky/employee-manager,https://github.com/LeahDombrosky/employee-manager,2017-10-17T03:24:28+09,2017-10-20T06:17:46+09,1,8065,32,0,0,1,0
ericdrewes/employee-manager,https://github.com/ericdrewes/employee-manager,2017-10-17T03:25:10+09,2017-10-26T05:58:11+09,2,8000,54,0,0,4,0
jsjutzi/employee-manager,https://github.com/jsjutzi/employee-manager,2017-10-17T03:26:54+09,2017-10-26T06:05:25+09,2,129,33,0,0,0,0
DevMountain2/employee-manager,https://github.com/DevMountain2/employee-manager,2017-10-17T03:41:07+09,2017-12-14T12:05:40+09,1,81,34,0,0,0,0
valcodes/employee-manager,https://github.com/valcodes/employee-manager,2017-10-17T03:41:47+09,2017-10-19T12:28:10+09,1,9149,70,0,0,4,0
kLPham/employee-manager,https://github.com/kLPham/employee-manager,2017-10-17T14:01:50+09,2017-12-29T04:40:33+09,1,9128,114,0,0,1,0
ccorkery97/employee-manager,https://github.com/ccorkery97/employee-manager,2017-10-19T06:33:43+09,2017-10-19T07:14:22+09,1,7782,30,0,0,1,0
clarkmackenzieb/employee-manager,https://github.com/clarkmackenzieb/employee-manager,2017-10-25T05:25:36+09,2017-10-26T06:51:47+09,1,91,24,0,0,0,0
KyleCieskiewicz/employee-manager,https://github.com/KyleCieskiewicz/employee-manager,2017-10-25T05:41:52+09,2017-10-27T08:05:09+09,1,78,19,0,0,0,0
SavyParchman/employee-manager,https://github.com/SavyParchman/employee-manager,2017-10-25T06:27:17+09,2017-10-26T05:32:06+09,1,8871,37,0,0,1,0
dmndc/employee-manager,https://github.com/dmndc/employee-manager,2017-11-04T11:29:02+09,2017-11-05T06:34:04+09,1,9262,60,0,0,4,0
FoxChrisRealTheGit/employee-manager,https://github.com/FoxChrisRealTheGit/employee-manager,2017-12-03T09:26:08+09,2017-12-04T02:52:01+09,10,8355,178,0,0,4,0
rachelruff/employee-manager,https://github.com/rachelruff/employee-manager,2017-12-05T06:36:26+09,2018-02-02T07:30:58+09,2,496,111,0,0,0,0
Lisamarie73187/employee-manager,https://github.com/Lisamarie73187/employee-manager,2017-12-05T07:27:46+09,2017-12-05T08:27:29+09,3,18,3,0,0,0,0
thuanty5/employee-manager,https://github.com/thuanty5/employee-manager,2017-12-05T12:44:46+09,2017-12-06T00:00:10+09,1,8706,2,0,0,1,0
jaylanjones421/employee-manager,https://github.com/jaylanjones421/employee-manager,2017-12-14T12:28:56+09,2017-12-17T06:55:15+09,2,9076,77,0,0,1,0
munkhtegsh/employee-manager,https://github.com/munkhtegsh/employee-manager,2017-12-15T15:47:02+09,2017-12-20T07:37:52+09,12,9235,44,0,0,4,0
ballermjc/employee-manager,https://github.com/ballermjc/employee-manager,2017-12-16T13:55:18+09,2017-12-17T05:19:35+09,1,9127,58,0,0,1,0
brettghays/employee-manager,https://github.com/brettghays/employee-manager,2017-12-16T23:25:47+09,2017-12-17T05:27:09+09,9,8094,77,0,0,1,0
alyssalleonard/employee-manager,https://github.com/alyssalleonard/employee-manager,2017-12-17T00:56:29+09,2017-12-19T09:57:54+09,1,9114,74,0,0,1,0
Kare-bear/employee-manager,https://github.com/Kare-bear/employee-manager,2017-12-18T10:05:01+09,2017-12-29T08:45:37+09,1,213,55,0,0,0,0
redsnow32/react-2-afternoon,https://github.com/redsnow32/react-2-afternoon,2018-01-16T08:18:45+09,2018-01-16T14:17:58+09,1,8982,50,0,0,1,0
Dmust32/react-2-afternoon,https://github.com/Dmust32/react-2-afternoon,2018-01-26T12:50:21+09,2018-01-28T04:00:34+09,1,8941,21,0,0,1,0
preston24/react-2-afternoon,https://github.com/preston24/react-2-afternoon,2018-01-27T02:24:28+09,2018-01-28T05:39:57+09,1,9087,81,0,0,1,0
cierajbullock/react-2-afternoon,https://github.com/cierajbullock/react-2-afternoon,2018-01-27T05:17:44+09,2018-02-05T19:59:16+09,7,9360,80,0,0,4,0
kellerchch/react-2-afternoon,https://github.com/kellerchch/react-2-afternoon,2018-01-27T23:13:44+09,2018-02-10T22:24:24+09,2,8992,55,0,0,2,0
wanglin2331/react-2-afternoon,https://github.com/wanglin2331/react-2-afternoon,2018-01-28T01:14:36+09,2018-01-31T05:21:06+09,2,8284,83,0,0,4,0
shanetidwell/react-2-afternoon,https://github.com/shanetidwell/react-2-afternoon,2018-01-28T01:18:19+09,2018-02-13T10:27:23+09,1,8266,85,0,0,4,0
